0000f47c22	මහවැලි ගඟට ගොස් ආපසු එන ගමනේදී
ef00167d79	අව්‍යාජත්වය, විරාගී බව හා
ef0076bbfc	එයාල දෙපිට කැපෙන කතා කියනකොට
ef023adc39	වසර වලින් හෝ දශක වලින් මැනිය හැකි
ef02956bf9	පසු ගිය සීත සමයේදී
ef031ad9a0	අකිල මට කිව්වේ
ef0371241d	කිසිලෙසකින් සෙලවිය නොහැකි ය.
ef03cfffdc	ඔබට පුළුවන්කම තියෙනවා
ef0401b750	එහෙම නොවන කෙනෙක්ට
ef0426615f	කියන ඕනෑම දෙයක්
ef045adfd6	බලන්නකෝ ලබන සඳුදා කතාව.
ef04af44ae	දානය පිළිබඳ සූත්‍ර පිටකය පුරාමත්
ef04e139aa	තම ජාතිය පාවාදී
ef04fae653	එතකොට කැමැත්තෙන්ම රඟපෑ රංගන ශිල්පියා ගැන කිව්වොත්?
ef053a5841	මහවැලි ද්‍රෝණිය නිසා සිදුවේ
ef056367f3	මෙවැනි කුළුණු විශාල ප්‍රමාණයක් යොදාගන්න සිදුවෙයි
ef06181c0c	ඒකත් වැරදියි කියලා
ef06ce60ff	එවිට සක්දෙවිඳු කියනවා දෙවිවරුනි
ef06ea281c	අකුසල කර්මයක විපාක ලෙසය.
ef07119e6d	මොකද එක අන්තවාදයක්
ef073bbe11	දිනා දෙන්නට ඒ කඳුළුවලට නොහැක
ef07593604	අවසානයේ මේ නපුරු මැහැල්ල
ef07ffb2a2	එදාට රඟපාන්න
ef0898eac6	ජාති වශයෙන් අඛණ්ඩව හටගන්නා
ef08ab30cc	cricket games
ef0923ad47	එදා ලොකු වැරදීමක් වෙලා තිබුණා.
ef098525f2	program for round robin scheduling in c
ef09f60199	එතුමන් ලා ප්‍රාර්ථනා කරනවානම්
ef0a4ccb68	මිරිස්කුඩු දාන්නේ නෑ.
ef0a75a213	අධිවේගී මාර්ගය දක්වා ද විහිදෙයි
ef0a94f43e	අවසන් තීරණය ක්‍රියාත්මක වනුයේ
ef0adedca0	ජුනි මස 6 වන දා සෙනසුරාදා අපර භාග 9.58 ට ලබයි.
ef0bce3d80	වෙනත් සහතික පත්‍ර පාඨමාලාවෝ පිළිබඳව විස්තර වෙති
ef0c5f87cb	පස්සෙ හොයා ගන්නත් බැරි වුණා.
ef0c66b027	එය නිර්මිත පරිසරය සමඟ ගනුදෙනු කරන
ef0d0c8b89	එය සමහරවිට බුදුන් දේශනා
ef0dab8edc	සැමියා එසේ කියමින්
ef0e1ea64c	ප්‍රීතියෙන් සාධු නදින් පුදන ලදී.
ef0eccdea9	ඒ විදියටම ආරක්ශා කරන්න
ef0f1dbff6	අපට කලින් පරම්පරාව
ef0f31532d	ආච්චි අම්මෙක්ටයි කිව්වාම තමයි
ef0f49ba03	ඒවා ගැන පර්යේෂණ හා විශ්ලේෂණ රාශියක් සිදු කොට ඇත.
ef0fdbc5ba	සමාජයෙහි කැපී පෙනෙනු ඇත
ef0fdee68a	මහා මණ්ඩල යෝජනාවකින් නොලැබෙන හෙයිනි.
ef0fe02b87	ඉතින් අද කොටසින් බලමු
ef10030a90	කොහොම හරි මාව හඳුන ගත්තා නේද කියලා.
ef10920f84	ඇයි අපි අනෙක් දේවලින් ඉස්සරහින් නැත්තෙ?
ef10d023c4	බ්ලොග් නිසා සින්ඩියත් සින්ඩිය නිසා
ef11565f6c	ආර්ය අෂ්ටාංගික මාර්ගයේ හැසිරෙන්න
ef118b7815	බිම දිගාවන සේ
ef123fb777	ඉතින් මම හිතන්නේ එන තරුණ ක්‍රීඩකයන්ට
ef1240825b	දැන් චීනය ඩොලරය කුණු කූඩයට යවමින් සිටී රුසියාවද දැන් එයම කරයි.
ef1359cefa	මාධ්‍ය සාකච්ඡාවක් පවත්වා
ef137d9974	හිත සංසිඳෙන්නෙ නෑ.
ef13ac51dc	රන්රුවන් වාහනය
ef1461d5c3	ඊළඟට පස් පුරවලා වහලා දැම්මා
ef1473d0ec	ඇත්ත කියන්න හේතුවක් තියෙනවා.
ef14cfbe90	මොකක් කරන්නද කියලා හිතාගන්න බෑ නියමයි! අනාථයි.
ef152c7756	මේ රටේ ඇති විය හැකි යි.
ef15865942	abaya work designs with stone
ef15a84319	මහ හයියෙන් අඬන්ට පටන් ගෙන
ef1637f2ae	එවන් සුවයක් සොයා
ef164784b7	අද කිසිම බාධාවක් නැත
ef16f275c7	ගෙවල්වලට ගිහින් පරීක්ෂා කරයි
ef1737485b	එක් උදාහරණයක් නම්
ef17e565b1	තොල් උසුරුවා අවැසි ප්‍රශ්නය ඇසීමට
ef187cf129	එය භුක්ති විදීමට?
ef1901e335	සිංහල සබ් එක්ක බොහොම ස්තූතියි
ef1935fe92	ස්තුතියි සුපිරි පාරක්නෙ මචං
